"veh_value","exposure","veh_body","veh_age","gender","area","agecat","anomaly"
0.62,0.9089664613,"STNWG",4,"M","C",6,0
2.64,0.5256673511,"UTE",2,"F","C",1,0
7.199,0.9993155373,"STNWG",1,"F","C",1,0
1.65,0.0876112252,"STNWG",4,"M","C",5,0
0.51,0.9117043121,"HBACK",4,"F","B",6,0
1.749,0.4134154689,"HBACK",1,"F","A",2,0
2.39,0.9089664613,"HDTOP",2,"M","C",4,0
3.59,0.8843258042,"SEDAN",4,"F","A",4,0
1.11,0.9062286105,"HBACK",3,"F","A",6,1
1.14,0.9117043121,"SEDAN",3,"F","C",4,0
1.64,0.9089664613,"HBACK",2,"F","C",4,0
2.35,0.9034907598,"SEDAN",2,"M","C",2,1
1.29,0.9089664613,"SEDAN",3,"F","E",6,0
1.65,0.6954140999,"STNWG",4,"M","F",1,0
1.99,0.9034907598,"STNWG",2,"M","B",3,0
1.04,0.7173169062,"HBACK",2,"F","C",4,1
1.63,0.6406570842,"SEDAN",2,"F","A",3,0
3.76,0.848733744,"UTE",1,"F","C",2,0
1.82,0.7665982204,"HBACK",2,"F","B",3,0
0.89,0.7529089665,"HBACK",3,"F","B",4,0
0.54,0.848733744,"HBACK",4,"F","D",3,0
6.359,0.7775496235,"STNWG",1,"M","C",4,1
1.26,0.6954140999,"STNWG",3,"F","B",2,0
1.1,0.6872005476,"SEDAN",4,"F","B",2,0
0.71,0.3559206023,"HBACK",4,"F","D",1,0
2.27,0.1451060917,"SEDAN",1,"F","C",2,1
1.1,0.3422313484,"SEDAN",3,"F","B",4,0
1.24,0.4024640657,"HBACK",3,"M","A",5,1
1.13,0.8542094456,"SEDAN",3,"F","E",2,0
0.46,0.9034907598,"SEDAN",4,"M","B",3,0
1.3,0.9034907598,"SEDAN",3,"F","A",6,0
1.47,0.5229295003,"SEDAN",2,"F","D",6,0
1.51,0.9034907598,"STNWG",4,"F","E",3,0
1.42,0.9226557153,"SEDAN",3,"F","C",4,0
1.53,0.5092402464,"PANVN",2,"F","C",3,0
1.66,0.2217659138,"UTE",4,"M","C",2,0
1.43,0.2135523614,"SEDAN",2,"F","A",1,0
1.81,0.9171800137,"SEDAN",2,"F","B",3,0
1.26,0.900752909,"HBACK",2,"M","C",6,0
3.4,0.0109514031,"STNWG",2,"M","F",1,0
1.78,0.9226557153,"HBACK",2,"F","B",5,1
2.9,0.8459958932,"SEDAN",1,"F","C",5,0
4.27,0.900752909,"STNWG",2,"F","C",5,1
3.35,0.3312799452,"TRUCK",2,"F","F",2,0
3.3,0.7939767283,"SEDAN",1,"F","D",4,0
0.44,0.6160164271,"HBACK",4,"M","D",3,0
3.33,0.6598220397,"STNWG",3,"F","B",3,0
1.19,0.7446954141,"SEDAN",3,"F","A",2,0
1.37,0.900752909,"HBACK",1,"M","A",2,1
2.06,0.2436687201,"STNWG",3,"M","E",2,0
1.54,0.8459958932,"HBACK",2,"F","C",1,0
0.73,0.3312799452,"HBACK",3,"F","C",4,1
1.49,0.514715948,"HBACK",1,"F","A",5,0
4.73,0.5256673511,"STNWG",1,"M","E",2,0
1.36,0.900752909,"SEDAN",3,"F","A",6,0
3.549,0.9117043121,"STNWG",1,"M","B",6,0
2.63,0.900752909,"SEDAN",1,"M","D",5,0
1.11,0.900752909,"HBACK",3,"F","D",4,0
2.22,0.900752909,"SEDAN",1,"F","C",4,0
0.99,0.900752909,"SEDAN",4,"M","A",5,0
2.2,0.7994524298,"HBACK",1,"F","B",6,0
3.17,0.900752909,"TRUCK",3,"M","E",5,0
1.49,0.900752909,"UTE",4,"M","C",1,0
1.67,0.7556468172,"HBACK",3,"F","C",2,1
3.94,0.5831622177,"STNWG",2,"F","D",4,0
3.3,0.7967145791,"UTE",2,"M","E",1,0
1.29,0.6954140999,"SEDAN",3,"M","C",3,0
2.12,0.8459958932,"STNWG",3,"F","E",3,0
0.81,0.7446954141,"HBACK",3,"M","C",3,0
2.76,0.6954140999,"STNWG",2,"F","B",3,0
2.74,0.1451060917,"STNWG",3,"M","C",2,0
3.12,0.219028063,"SEDAN",3,"F","B",2,1
0.67,0.8980150582,"SEDAN",4,"F","C",6,0
0.92,0.8459958932,"HBACK",3,"F","A",3,1
1.86,0.9199178645,"SEDAN",2,"F","A",6,0
3.66,0.2819986311,"STNWG",3,"F","F",3,0
4.7,0.8459958932,"STNWG",1,"M","A",5,0
0.91,0.2108145106,"STNWG",3,"F","A",4,0
1.51,0.7802874743,"SEDAN",3,"F","B",1,0
1.44,0.5119780972,"STNWG",4,"F","A",2,0
0.74,0.8980150582,"SEDAN",4,"M","A",2,0
1.18,0.8980150582,"SEDAN",3,"F","A",4,1
1.38,0.6324435318,"SEDAN",3,"M","C",4,1
1.05,0.0985626283,"SEDAN",3,"F","C",5,0
0.65,0.6351813826,"SEDAN",4,"F","E",4,1
2.76,0.5886379192,"STNWG",1,"F","A",3,1
1.59,0.2162902122,"UTE",2,"M","B",2,0
0.89,0.7830253251,"TRUCK",4,"M","C",3,0
0.98,0.0629705681,"SEDAN",3,"M","C",1,1
2.01,0.6242299795,"PANVN",2,"M","C",3,0
2.75,0.1149897331,"STNWG",1,"F","D",1,1
0.85,0.8980150582,"HBACK",3,"F","B",1,0
1.26,0.9171800137,"HBACK",2,"F","C",2,0
0.6,0.5092402464,"HBACK",4,"F","E",1,0
4.349,0.2902121834,"UTE",1,"F","E",1,0
1.03,0.8952772074,"HBACK",4,"F","D",3,1
1.74,0.5092402464,"STNWG",4,"M","C",2,1
1.54,0.3011635866,"SEDAN",2,"M","E",2,1
1.01,0.5092402464,"HBACK",2,"F","D",2,0
1.56,0.7091033539,"HBACK",2,"M","A",3,0
1.13,0.6132785763,"SEDAN",3,"M","C",4,0
1.95,0.6105407255,"STNWG",3,"M","D",4,0
1.8,0.6132785763,"SEDAN",2,"M","B",6,0
0.43,0.6981519507,"SEDAN",4,"F","B",2,0
0.76,0.6105407255,"HBACK",3,"F","C",5,0
3.18,0.3887748118,"STNWG",2,"F","A",5,0
2.61,0.386036961,"STNWG",2,"F","A",4,1
2.11,0.5092402464,"SEDAN",2,"M","C",2,0
1.97,0.2683093771,"SEDAN",2,"F","C",4,1
1.48,0.2354551677,"HBACK",1,"M","D",1,0
1.4,0.9171800137,"SEDAN",3,"F","C",3,1
0.84,0.59137577,"HBACK",3,"M","C",5,0
1.35,0.5065023956,"SEDAN",3,"M","C",2,1
0.34,0.2162902122,"HBACK",4,"F","A",4,0
1.45,0.9911019849,"UTE",4,"M","E",1,0
1.23,0.5065023956,"HBACK",2,"F","D",2,0
3.85,0.2162902122,"STNWG",1,"F","C",3,0
2.12,0.6078028747,"SEDAN",1,"F","D",3,0
0.68,0.6078028747,"HBACK",4,"F","C",5,1
2.45,0.2135523614,"SEDAN",1,"M","C",6,0
1.39,0.0602327173,"HBACK",1,"M","A",6,1
2.33,0.59137577,"STNWG",2,"F","A",4,0
1.99,0.4079397673,"SEDAN",2,"F","E",3,0
2.33,0.6625598905,"STNWG",3,"F","F",3,1
0.93,0.8377823409,"SEDAN",3,"F","C",3,0
0.79,0.8898015058,"HBACK",4,"M","B",2,0
1.24,0.8377823409,"HBACK",2,"F","F",1,0
0.92,0.8377823409,"HBACK",3,"F","D",4,0
1.18,0.8377823409,"TRUCK",4,"M","B",5,0
1.21,0.2984257358,"COUPE",4,"M","B",3,1
0.9,0.8815879534,"HBACK",3,"F","A",3,0
2.16,0.5065023956,"HBACK",1,"F","B",2,1
1.28,0.7857631759,"SEDAN",3,"F","B",4,0
1.65,0.8076659822,"SEDAN",3,"M","B",3,1
3.63,0.5065023956,"STNWG",2,"F","D",5,0
3.57,0.8350444901,"UTE",1,"M","A",2,1
1.19,0.8898015058,"STNWG",4,"M","B",4,0
3.45,0.9144421629,"HDTOP",2,"M","F",4,0
1.02,0.3997262149,"SEDAN",4,"M","C",4,1
1.23,0.7857631759,"HBACK",2,"F","C",2,0
4.25,0.3969883641,"STNWG",2,"M","B",4,0
1.349,0.5065023956,"HBACK",1,"F","B",1,1
1.99,0.3969883641,"STNWG",4,"M","A",3,0
1.67,0.295687885,"HBACK",2,"F","C",3,1
1.08,0.2135523614,"HBACK",3,"F","C",4,0
1.17,0.5065023956,"SEDAN",3,"F","A",5,1
4.58,0.257357974,"STNWG",1,"M","D",2,0
0.65,0.5065023956,"SEDAN",4,"M","C",2,1
0.79,0.3942505133,"HBACK",3,"F","C",1,0
1.55,0.5037645448,"HBACK",1,"F","C",5,0
0.39,0.3969883641,"STNWG",4,"F","C",4,0
0.95,0.6023271732,"SEDAN",4,"M","C",4,1
0.83,0.6023271732,"STNWG",4,"M","D",2,0
2.61,0.6023271732,"STNWG",4,"F","E",5,0
1.29,0.0574948665,"HDTOP",4,"F","C",1,0
2.33,0.6050650239,"UTE",2,"M","C",6,0
0.39,0.5065023956,"SEDAN",4,"F","C",4,0
1.21,0.5995893224,"HBACK",2,"F","D",1,0
0.9,0.5065023956,"UTE",4,"F","B",2,0
2.18,0.5065023956,"SEDAN",2,"M","C",4,0
0.74,0.3997262149,"HBACK",4,"F","B",5,0
0.97,0.3997262149,"SEDAN",3,"F","C",4,0
1.29,0.2847364819,"STNWG",4,"F","F",4,0
1.66,0.3367556468,"STNWG",4,"F","F",4,0
1.428,0.6543463381,"HBACK",1,"M","A",4,1
3.4,0.6023271732,"UTE",1,"M","B",5,0
1.74,0.3969883641,"SEDAN",1,"M","B",2,0
1.73,0.629705681,"SEDAN",2,"F","C",4,1
1.45,0.8624229979,"SEDAN",3,"F","F",5,0
2.79,0.4106776181,"STNWG",2,"M","F",3,0
2.54,0.9144421629,"TRUCK",3,"M","D",2,0
2.43,0.8350444901,"SEDAN",1,"M","B",2,0
3.28,0.8323066393,"STNWG",1,"M","B",3,0
1.44,0.629705681,"UTE",4,"M","F",5,0
1.73,0.629705681,"HBACK",2,"F","E",6,0
0.86,0.8350444901,"SEDAN",4,"F","A",3,0
1.42,0.7665982204,"SEDAN",3,"M","A",3,1
2.999,0.8350444901,"STNWG",1,"M","D",1,1
4.85,0.1122518823,"STNWG",2,"M","B",4,0
0.84,0.1642710472,"HBACK",3,"F","C",2,0
0.99,0.7665982204,"HBACK",3,"F","C",2,0
1.61,0.295687885,"HBACK",2,"F","B",3,0
2.44,0.8843258042,"SEDAN",1,"M","A",6,0
1.09,0.3230663929,"STNWG",3,"M","C",6,0
1.08,0.8980150582,"SEDAN",3,"F","C",6,0
5.813,0.9993155373,"STNWG",1,"F","B",3,1
1.63,0.8980150582,"HDTOP",3,"F","B",3,0
1.01,0.8980150582,"HBACK",3,"F","C",3,0
1.98,0.8980150582,"STNWG",4,"M","C",4,0
0.92,0.476386037,"HBACK",4,"M","C",3,0
1.559,0.7912388775,"HBACK",1,"F","C",1,0
4.11,0.887063655,"STNWG",1,"F","F",1,0
1.59,0.6269678302,"SEDAN",3,"M","A",4,0
2.41,0.8569472964,"STNWG",3,"M","A",5,0
1.28,0.1396303901,"STNWG",4,"F","C",5,0
1.86,0.8569472964,"HBACK",1,"M","A",5,0
1.89,0.8596851472,"SEDAN",2,"F","D",4,0
1.1,0.8569472964,"SEDAN",3,"F","C",3,0
1.82,0.7802874743,"STNWG",2,"M","C",4,0
3.32,0.5037645448,"STNWG",1,"F","C",5,0
2.23,0.1423682409,"SEDAN",1,"F","B",4,0
1.6,0.8596851472,"HBACK",3,"F","A",4,0
1.56,0.2710472279,"HDTOP",4,"M","D",2,0
1.12,0.8569472964,"HBACK",3,"M","C",4,0
2.29,0.4435318275,"STNWG",3,"F","E",3,0
1.09,0.7885010267,"SEDAN",4,"F","A",2,0
2.2,0.7693360712,"STNWG",2,"M","C",2,0
2.68,0.8843258042,"SEDAN",1,"F","E",4,1
2.5,0.8323066393,"HDTOP",1,"F","C",4,0
2.3,0.2080766598,"STNWG",3,"F","A",3,0
2.34,0.772073922,"MIBUS",4,"F","E",4,0
1.41,0.4900752909,"SEDAN",2,"F","A",1,0
3.22,0.9993155373,"UTE",2,"F","C",1,0
2.38,0.8295687885,"STNWG",3,"F","B",3,0
0.58,0.1341546886,"COUPE",4,"F","A",6,0
1.61,0.8952772074,"SEDAN",2,"M","C",5,0
1.23,0.8952772074,"HBACK",2,"F","A",5,0
0.44,0.8323066393,"HBACK",4,"F","C",2,0
1.3,0.7145790554,"HBACK",2,"F","A",1,1
3.06,0.8323066393,"STNWG",3,"M","D",2,0
1.14,0.9062286105,"UTE",4,"M","C",4,0
1.06,0.2655715263,"HBACK",4,"F","C",2,0
0.88,0.3942505133,"SEDAN",3,"F","D",6,0
5.27,0.3942505133,"STNWG",2,"F","D",6,0
1.78,0.3942505133,"SEDAN",2,"F","C",4,0
1.65,0.605065024,"SEDAN",2,"F","B",3,0
2.13,0.3942505133,"SEDAN",2,"F","C",6,1
0.81,0.4325804244,"HBACK",4,"F","D",2,0
2.66,0.8651608487,"STNWG",3,"M","A",5,0
2.66,0.2874743326,"STNWG",2,"M","B",3,0
4.8,0.8651608487,"HDTOP",1,"M","A",1,0
2.36,0.925393566,"STNWG",3,"F","C",2,0
0.71,0.9062286105,"SEDAN",4,"M","D",3,0
1.8,0.9062286105,"STNWG",2,"F","A",5,1
4.71,0.9993155373,"STNWG",1,"F","D",6,1
1.13,0.2436687201,"SEDAN",3,"F","A",1,0
2.24,0.8076659822,"STNWG",3,"M","B",2,1
1.29,0.4407939767,"STNWG",4,"F","F",3,0
1.31,0.8815879535,"HBACK",1,"M","A",5,1
1.25,0.8295687885,"STNWG",4,"M","D",4,0
0.4,0.8295687885,"STNWG",4,"M","B",3,0
4.42,0.501026694,"TRUCK",1,"M","D",4,0
5.14,0.8158795346,"STNWG",1,"F","B",2,0
2.65,0.7036276523,"SEDAN",2,"F","C",4,0
0.73,0.1314168378,"STNWG",4,"M","A",4,0
1.24,0.8295687885,"HBACK",2,"F","B",4,0
1.22,0.9993155373,"HBACK",3,"F","C",4,0
0.64,0.772073922,"HBACK",4,"M","D",2,1
1.04,0.6981519507,"HBACK",2,"F","E",4,0
0.62,0.3203285421,"UTE",4,"M","A",1,0
3.2,0.2984257358,"STNWG",3,"F","F",3,0
0.71,0.629705681,"STNWG",4,"F","A",2,0
3.98,0.6844626968,"STNWG",2,"M","F",4,0
1.26,0.8295687885,"HBACK",2,"F","A",1,0
1.47,0.7748117728,"UTE",4,"M","C",3,1
1.82,0.5968514716,"HBACK",2,"M","D",6,0
1.6,0.5968514716,"SEDAN",2,"F","D",3,0
2.01,0.5968514716,"HBACK",1,"M","C",3,0
2.76,0.090349076,"SEDAN",1,"M","D",6,0
1.05,0.5968514716,"PANVN",4,"M","A",3,0
3.29,0.8021902806,"STNWG",1,"M","B",5,0
1.52,0.8788501027,"SEDAN",2,"M","A",2,0
1.2,0.4353182752,"SEDAN",3,"M","C",3,0
1.89,0.8815879535,"SEDAN",2,"F","E",4,0
1.02,0.4928131417,"HBACK",3,"M","A",3,0
2.77,0.9226557153,"STNWG",1,"F","C",2,0
0.71,0.8268309377,"STNWG",4,"F","C",2,0
1.6,0.2847364819,"UTE",3,"M","A",3,0
0.98,0.7145790554,"HBACK",3,"M","C",1,1
0.97,0.8268309377,"SEDAN",3,"F","E",5,0
1.85,0.9965776865,"SEDAN",1,"M","B",4,0
1.57,0.900752909,"HBACK",2,"F","B",6,1
1.15,0.8268309377,"SEDAN",3,"M","A",6,0
4.64,0.3832991102,"STNWG",1,"F","B",2,0
0.54,0.4928131417,"COUPE",4,"M","C",2,0
2.9,0.8268309377,"SEDAN",1,"F","C",5,0
3.47,0.386036961,"STNWG",1,"F","C",3,0
3.91,0.5366187543,"UTE",1,"M","E",3,0
1.18,0.900752909,"SEDAN",3,"F","B",3,0
0.9,0.2929500342,"SEDAN",3,"M","C",4,0
1.74,0.4928131417,"STNWG",4,"F","F",3,0
2.52,0.8268309377,"TRUCK",3,"M","B",2,0
0.37,0.4928131417,"UTE",4,"M","A",1,0
1.3,0.5503080082,"SEDAN",3,"F","C",4,0
1.46,0.386036961,"SEDAN",3,"F","B",5,0
3.97,0.6132785763,"STNWG",2,"F","E",5,0
0.54,0.386036961,"HBACK",4,"F","C",3,0
1.73,0.4900752909,"HBACK",1,"F","A",2,0
0.79,0.3915126626,"TRUCK",3,"F","D",1,0
0.84,0.8268309377,"HBACK",3,"F","C",4,0
2.5,0.1204654346,"UTE",3,"M","C",4,0
0.85,0.3258042437,"HBACK",3,"F","C",2,0
2.66,0.5366187543,"SEDAN",1,"M","B",1,0
0.78,0.8240930869,"STNWG",4,"M","A",4,0
1.76,0.7748117728,"HBACK",1,"F","B",1,0
0.6,0.8980150582,"SEDAN",4,"M","A",4,0
3.74,0.4928131417,"STNWG",2,"M","B",4,0
1.63,0.5338809035,"HBACK",1,"M","E",4,0
1.42,0.8761122519,"SEDAN",3,"F","C",3,1
2.96,0.6160164271,"STNWG",3,"M","C",6,0
1.75,0.3093771389,"STNWG",4,"F","F",3,0
0.41,0.5941136208,"STNWG",4,"M","A",4,0
1.2,0.5941136208,"SEDAN",4,"F","E",4,0
1.03,0.5941136208,"HBACK",2,"F","E",2,1
0.53,0.5776865161,"HBACK",4,"M","C",6,0
3.39,0.5941136208,"STNWG",3,"M","E",3,0
0.65,0.3258042437,"MIBUS",4,"F","C",4,0
0.39,0.4052019165,"PANVN",4,"F","C",4,0
1.38,0.5941136208,"SEDAN",3,"M","C",3,0
3.36,0.8021902806,"STNWG",2,"F","A",3,0
1.399,0.6187542779,"HBACK",1,"M","B",3,1
1.27,0.8021902806,"SEDAN",4,"F","E",4,0
1.19,0.7036276523,"SEDAN",3,"F","C",2,0
1.58,0.8788501027,"SEDAN",3,"M","C",2,0
1.46,0.8240930869,"SEDAN",3,"M","B",4,0
3.56,0.8761122519,"UTE",1,"F","A",4,0
0.41,0.8761122519,"SEDAN",4,"F","D",1,1
3.64,0.5366187543,"STNWG",1,"F","D",4,1
1.35,0.0657084189,"HBACK",2,"F","B",2,0
0.63,0.8186173853,"PANVN",4,"M","B",3,0
0.71,0.3586584531,"SEDAN",4,"F","C",3,0
0.61,0.0219028063,"SEDAN",4,"F","A",5,0
0.48,0.887063655,"HBACK",4,"M","B",5,1
2,0.8925393566,"HBACK",1,"F","B",6,0
2.43,0.8898015058,"SEDAN",1,"M","A",6,0
3.749,0.6598220397,"STNWG",1,"M","D",5,0
1.75,0.887063655,"SEDAN",2,"F","B",5,1
3.399,0.8898015058,"STNWG",1,"M","B",5,0
4.11,0.9993155373,"STNWG",2,"F","C",2,0
5.27,0.4818617385,"STNWG",2,"M","B",3,0
1.93,0.8925393566,"SEDAN",2,"M","C",2,1
2.82,0.887063655,"STNWG",1,"M","C",3,0
1.9,0.4845995893,"UTE",2,"M","D",2,0
0.77,0.7310061602,"HBACK",3,"F","C",3,0
1.83,0.8898015058,"SEDAN",2,"F","D",3,0
2.14,0.5284052019,"STNWG",2,"M","C",2,0
1.93,0.6516084873,"SEDAN",2,"M","A",4,0
0.43,0.5256673511,"HBACK",4,"M","A",4,1
2.2,0.8925393566,"STNWG",3,"F","D",4,0
0.51,0.8186173853,"HBACK",4,"F","C",1,0
2.2,0.6132785763,"HDTOP",3,"M","C",4,0
1.57,0.8898015058,"HBACK",2,"M","A",6,1
2.55,0.8186173854,"SEDAN",1,"M","D",6,0
0.59,0.8925393566,"SEDAN",4,"M","A",2,0
1.37,0.887063655,"HBACK",3,"M","A",4,0
3.55,0.3121149897,"STNWG",3,"M","C",3,0
1.59,0.1943874059,"SEDAN",1,"F","A",3,0
0.41,0.3148528405,"HBACK",4,"M","C",5,0
1.65,0.1943874059,"SEDAN",3,"F","A",4,0
1.19,0.3778234086,"HBACK",4,"M","C",4,0
2.73,0.7994524298,"STNWG",3,"F","B",4,0
3.4,0.6872005476,"UTE",1,"M","E",3,0
0.58,0.2162902122,"SEDAN",4,"M","B",2,0
1.36,0.6872005476,"HBACK",3,"F","C",1,0
1.39,0.8186173853,"HBACK",1,"F","D",2,0
0.43,0.1040383299,"SEDAN",4,"M","C",4,1
1.1,0.8405201916,"SEDAN",3,"F","C",4,0
1.51,0.6872005476,"STNWG",4,"F","C",1,0
0.44,0.8158795346,"HBACK",4,"F","C",3,0
2.35,0.7857631759,"STNWG",3,"F","C",3,0
3.3,0.6872005476,"UTE",2,"M","E",3,0
0.73,0.6652977413,"HBACK",3,"F","D",3,0
1.36,0.2162902122,"SEDAN",3,"F","E",2,0
0.76,0.8706365503,"PANVN",4,"F","D",4,0
1.9,0.1943874059,"STNWG",4,"M","C",6,0
3.49,0.6872005476,"STNWG",2,"F","C",4,0
1.06,0.4845995893,"HBACK",4,"F","C",1,0
3.38,0.5174537988,"STNWG",2,"F","F",2,0
2.92,0.8706365503,"STNWG",1,"F","A",2,0
1.85,0.4873374401,"HBACK",1,"M","C",2,0
2.01,0.1149897331,"STNWG",3,"F","A",5,0
4.27,0.8843258042,"STNWG",2,"F","B",4,0
3.59,0.8843258042,"STNWG",2,"M","C",4,0
1.77,0.8843258042,"HDTOP",3,"M","C",6,0
0.65,0.1889117043,"COUPE",4,"F","C",3,0
2.099,0.9993155373,"SEDAN",1,"F","C",3,0
0.76,0.3066392882,"SEDAN",4,"F","A",2,0
3.64,0.9911019849,"STNWG",2,"M","B",4,0
1.55,0.8049281314,"SEDAN",4,"M","B",3,0
1.86,0.8158795346,"HBACK",3,"M","B",4,0
0,0.9993155373,"STNWG",4,"F","B",2,0
1.9,0.8131416838,"SEDAN",1,"F","B",5,0
0.35,0.8158795346,"HBACK",4,"F","A",5,1
2.59,0.9911019849,"SEDAN",1,"F","D",2,0
0.76,0.5776865161,"HBACK",3,"F","A",1,0
3.1,0.8158795346,"UTE",2,"F","F",2,0
2.12,0.5256673511,"SEDAN",2,"F","C",4,0
0.87,0.7885010267,"HBACK",3,"F","B",2,0
0.54,0.4845995893,"SEDAN",4,"F","B",2,0
1.16,0.9993155373,"STNWG",4,"M","A",2,0
1.75,0.4736481862,"TRUCK",1,"M","B",5,0
1.97,0.8733744011,"SEDAN",2,"F","F",5,0
4.9,0.1259411362,"SEDAN",1,"F","A",5,0
1.4,0.1259411362,"HBACK",1,"F","A",4,0
4,0.9993155373,"STNWG",3,"F","F",4,0
1.428,0.8158795346,"HBACK",1,"F","A",3,0
1.8,0.514715948,"STNWG",3,"M","C",2,0
1.22,0.6844626968,"HBACK",2,"F","C",2,0
2.41,0.0054757016,"TRUCK",3,"M","D",3,0
1.06,0.1259411362,"STNWG",3,"F","B",4,0
2.5,0.7638603696,"STNWG",2,"F","A",4,1
0.43,0.8678986995,"HBACK",4,"F","D",2,1
1.41,0.1177275838,"HBACK",2,"M","D",3,0
2.25,0.205338809,"SEDAN",1,"F","C",6,0
1.47,0.5256673511,"SEDAN",3,"F","A",1,0
1.05,0.8815879535,"HBACK",2,"F","C",4,1
2.71,0.501026694,"STNWG",2,"M","D",3,0
0.77,0.052019165,"HBACK",4,"F","A",2,0
1.64,0.4845995893,"SEDAN",2,"F","E",3,0
0.44,0.1095140315,"SEDAN",4,"F","A",2,0
1.5,0.514715948,"HBACK",4,"M","A",3,0
2.06,0.3668720055,"STNWG",4,"M","B",6,0
1.61,0.8131416838,"HBACK",3,"M","C",6,0
1.65,0.6160164271,"SEDAN",3,"F","B",4,0
3.549,0.4654346338,"STNWG",1,"F","F",3,0
1.9,0.4845995893,"SEDAN",1,"M","D",4,0
1.89,0.8076659822,"SEDAN",2,"F","C",4,0
2.94,0.8678986995,"HBACK",2,"F","C",5,0
2.25,0.8678986995,"STNWG",3,"M","B",2,0
1.48,0.8076659822,"COUPE",3,"M","B",4,0
1.39,0.6132785763,"HBACK",1,"F","A",4,0
1.85,0.1861738535,"STNWG",3,"F","C",4,0
2.3,0.9883641342,"HDTOP",2,"M","A",4,1
2.03,0.4818617385,"UTE",3,"F","E",3,0
1.06,0.424366872,"HBACK",4,"F","A",1,0
4.18,0.8131416838,"STNWG",2,"F","B",2,0
4.78,0.9883641342,"STNWG",1,"M","A",3,0
1.85,0.59137577,"SEDAN",2,"M","D",5,0
2.61,0.59137577,"STNWG",3,"M","C",5,1
1.1,0.4572210814,"SEDAN",3,"F","F",1,0
1.14,0.59137577,"SEDAN",3,"F","C",6,0
6.38,0.7501711157,"STNWG",1,"F","D",5,0
1.61,0.4079397673,"SEDAN",3,"M","E",5,0
1.07,0.59137577,"SEDAN",4,"M","D",3,0
1.27,0.7748117728,"TRUCK",4,"F","E",2,0
1.2,0.8131416838,"SEDAN",3,"F","B",2,0
1.3,0.8076659822,"HBACK",2,"F","A",5,0
0.5,0.6981519507,"HBACK",4,"F","E",4,0
0.72,0.5229295003,"HBACK",3,"F","B",3,0
1.28,0.8651608487,"TRUCK",3,"M","C",2,0
1.29,0.7282683094,"SEDAN",3,"F","C",4,0
1.42,0.8651608487,"HBACK",1,"M","C",6,0
0.52,0.0684462697,"SEDAN",4,"F","B",4,0
0.7,0.5229295003,"HBACK",4,"M","B",3,0
2.84,0.5229295003,"STNWG",3,"F","F",2,0
0.73,0.7885010267,"HBACK",4,"F","C",2,0
2.84,0.5229295003,"STNWG",3,"M","C",3,0
4,0.2026009582,"STNWG",3,"F","B",5,0
1.37,0.8651608487,"HBACK",3,"F","A",2,1
0.74,0.5749486653,"HBACK",4,"F","C",2,1
1.74,0.8624229979,"SEDAN",2,"F","A",4,0
0.77,0.6023271732,"HBACK",4,"F","A",5,0
1.38,0.8651608487,"SEDAN",2,"F","C",1,1
2.81,0.4818617385,"SEDAN",1,"M","D",5,0
1.61,0.5886379192,"SEDAN",2,"M","B",6,1
1.97,0.5886379192,"SEDAN",3,"F","A",6,0
1.56,0.4106776181,"STNWG",4,"F","D",6,0
2.99,0.5886379192,"HDTOP",1,"F","A",3,1
